,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,
1,485010,15,0.000660932,0.009913983,0.001276553,0.000329604,,,,0.046153471
2,485011,58,0.1144123,6.635913424,0.142944489,0.018769531,,,,0.104707122
3,485012,59,0.203603802,12.0126243,0.168069559,0.021880793,,,,0.050839895
4,485013,58,0.124037392,7.194168763,0.161924722,0.021261758,,,,0.080314067
5,485014,58,0.085894545,4.981883619,0.136623466,0.01793954,,,,0.084243001
6,485015,59,0.06438723,3.798846589,0.129804628,0.016899123,,,,0.080073316
7,485016,58,0.072799596,4.222376563,0.138553165,0.018192922,,,,
8,485017,59,0.099376288,5.863201007,0.160974795,0.020957133,,,,
9,485018,58,0.134305604,7.78972503,0.158217119,0.020774925,,,,
10,485019,58,0.112200846,6.507649051,0.166435076,0.021853996,,,,
11,485020,59,0,0,0,0,,,,
12,485021,58,0,0,0,0,,,,
13,485022,58,0.066289415,3.844786082,0.135653926,0.017812233,,,,
14,485023,59,0.025940622,1.530496722,0.072344634,0.009418469,,,,
15,485024,58,0,0,0,0,,,,
16,485025,59,0,0,0,0,,,,
17,485026,58,0,0,0,0,,,,
18,485027,58,0,0,0,0,,,,
19,485028,59,0,0,0,0,,,,
20,485029,58,0,0,0,0,,,,
21,485030,59,0.003609734,0.212974322,0.027726895,0.003609734,,,,
22,485031,58,0,0,0,0,,,,
23,485032,59,0,0,0,0,,,,
24,485033,58,0.000164984,0.009569074,0.001220544,0.000160265,,,,
25,485034,59,0,0,0,0,,,,
26,485035,58,0,0,0,0,,,,
27,485036,59,0.144863048,8.546919813,0.178355484,0.023219906,,,,
28,485037,58,0.208579475,12.09760954,0.192695132,0.02530211,,,,
29,485038,59,0.30027271,17.71608987,0.189405186,0.024658455,,,,
30,485039,58,0.293013991,16.9948115,0.177759475,0.023340963,,,,
31,485040,58,0.336233179,19.50152439,0.127385086,0.016726481,,,,
32,485041,59,0.285747388,16.85909586,0.165399321,0.021533157,,,,
33,485042,58,0.267104762,15.4920762,0.162634537,0.021354961,,,,
34,485043,59,0.263269252,15.53288587,0.163295295,0.021259237,,,,
35,485044,58,0.039574851,2.295341384,0.111373487,0.014624055,,,,
36,485045,58,0.144674555,8.3911242,0.184349451,0.024206269,,,,
37,485046,59,0.200007078,11.8004176,0.184255139,0.023987976,,,,
38,485047,58,0.024891748,1.443721368,0.095636234,0.012557653,,,,
39,485048,59,0,0,0,0,,,,
40,485049,58,0,0,0,0,,,,
41,485050,59,0,0,0,0,,,,
42,485051,58,0,0,0,0,,,,
43,485052,19,0,0,0,0,,,,
44,485056,26,0,0,0,0,,,,
45,485057,58,0,0,0,0,,,,
46,485058,59,0.004738885,0.279594215,0.036333253,0.004730187,,,,
47,485059,58,0,0,0,0,,,,
48,485060,59,0,0,0,0,,,,
49,485061,58,0.169212343,9.814315886,0.171709075,0.022546506,,,,
50,485062,58,0.242978611,14.09275944,0.149385276,0.019615248,,,,
51,485063,59,0,0,0,0,,,,
52,485064,58,0.144298688,8.369323914,0.170193057,0.022347443,,,,
53,485065,59,0.273950144,16.16305847,0.146546819,0.019078771,,,,
54,485066,58,0.240746461,13.96329472,0.152328549,0.020001718,,,,
55,485067,59,0.056884617,3.356192423,0.120523135,0.015690776,,,,
56,485068,58,0,0,0,0,,,,
57,485069,58,0.090421494,5.244446671,0.139461141,0.018312145,,,,
58,485070,59,0,0,0,0,,,,
59,485071,58,0,0,0,0,,,,
60,485072,59,0,0,0,0,,,,
61,485073,58,0,0,0,0,,,,
62,485074,59,0,0,0,0,,,,
63,485075,58,0,0,0,0,,,,
64,485076,59,0.001665128,0.098242544,0.01279009,0.001665128,,,,
65,485077,58,0,0,0,0,,,,
66,485078,58,0,0,0,0,,,,
67,485079,59,0,0,0,0,,,,
68,485080,58,0,0,0,0,,,,
69,485081,59,0,0,0,0,,,,
70,485082,52,0,0,0,0,,,,
71,485083,59,0,0,0,0,,,,
72,485084,58,0,0,0,0,,,,
73,485085,59,0.166481043,9.822381546,0.183795349,0.023928116,,,,
