"","interval_group","count","average_value","sum_value","standard_deviation","standard_error"
"1",485010,15,0.866666666666667,13,1.99523241276609,0.515166793763753
"2",485011,58,8.12068965517241,471,12.0526295976349,1.58258779904496
"3",485012,59,22.1186440677966,1305,14.0811499649938,1.83320957930021
"4",485013,58,21.6034482758621,1253,14.3929071898095,1.88988130157494
"5",485014,58,20.8275862068966,1208,16.8534841325086,2.21297088269764
"6",485015,59,16.7627118644068,989,15.5334333339312,2.02228076953773
"7",485016,58,9.06896551724138,526,14.2974198003052,1.87734319307604
"8",485017,58,17.6896551724138,1026,16.8056035940311,2.20668385998675
"9",485018,59,14.0169491525424,827,16.54512275819,2.1539915139328
"10",485019,58,16.2758620689655,944,16.1503822163758,2.1206490781534
"11",485020,59,22.8305084745763,1347,12.866894894253,1.67512703398752
"12",485021,58,26,1508,13.0961357632633,1.71960687132075
"13",485022,58,20.6206896551724,1196,13.4201048263834,1.76214609335595
"14",485023,59,12.3050847457627,726,13.2016903793418,1.71871369359252
"15",485024,58,0.137931034482759,8,0.804554488512044,0.105643179927795
"16",485025,59,0,0,0,0
"17",485026,58,0,0,0,0
"18",485027,58,0,0,0,0
"19",485028,59,0,0,0,0
"20",485029,58,0,0,0,0
"21",485030,59,0,0,0,0
"22",485031,58,0,0,0,0
"23",485032,59,0,0,0,0
"24",485033,58,0.0172413793103448,1,0.131306432859723,0.0172413793103448
"25",485034,59,0,0,0,0
"26",485035,58,0,0,0,0
"27",485036,59,6.01694915254237,355,10.3282196707049,1.34461967129979
"28",485037,58,1.18965517241379,69,4.04560362009647,0.531213780119248
"29",485038,58,4.60344827586207,267,10.3397371020439,1.35767399557671
"30",485039,59,16.3898305084746,967,14.16895215403,1.84464045067256
"31",485040,58,19.8103448275862,1149,13.3672247727276,1.75520260214097
"32",485041,59,19.135593220339,1129,14.3712567865438,1.87097827046591
"33",485042,58,19.3620689655172,1123,13.920448515488,1.82784443837616
"34",485043,58,16.9827586206897,985,13.3488830984394,1.75279422231752
"35",485044,59,20.0169491525424,1181,15.1367234706988,1.97063354446816
"36",485045,58,19.7586206896552,1146,15.1452735315288,1.98867184210982
"37",485046,59,10.5932203389831,625,15.8496368326368,2.06344695868253
"38",485047,58,8.68965517241379,504,13.9613588246232,1.83321622513589
"39",485048,59,0,0,0,0
"40",485049,58,0,0,0,0
"41",485050,59,0,0,0,0
"42",485051,58,0,0,0,0
"43",485052,19,0,0,0,0
"44",485056,23,0,0,0,0
"45",485057,59,0,0,0,0
"46",485058,58,0.0862068965517241,5,0.539150818941823,0.0707939708086489
"47",485059,59,0,0,0,0
"48",485060,58,0.913793103448276,53,3.58987114443343,0.471373174401604
"49",485061,59,17.6440677966102,1041,13.0142663256645,1.69431316015267
"50",485062,58,17.1034482758621,992,15.4314439241763,2.02624785555843
"51",485063,58,21.2758620689655,1234,17.381976048455,2.28236527097576
"52",485064,59,0,0,0,0
"53",485065,58,16.1379310344828,936,16.3893935276961,2.152032800856
"54",485066,59,24.7796610169492,1462,15.4172628240735,2.00715665737127
"55",485067,58,27.3620689655172,1587,14.4728399907782,1.90037699253863
"56",485068,59,18.2881355932203,1079,16.6412976610409,2.16651241979865
"57",485069,58,3.75862068965517,218,9.17722265219633,1.20502837001934
"58",485070,59,18.0677966101695,1066,13.5084448769058,1.75864972756885
"59",485071,58,6.37931034482759,370,11.703692004388,1.53677004838504
"60",485072,59,0,0,0,0
"61",485073,58,0,0,0,0
"62",485074,58,0,0,0,0
"63",485075,59,0,0,0,0
"64",485076,58,0,0,0,0
"65",485077,59,0,0,0,0
"66",485078,58,0,0,0,0
"67",485079,59,0,0,0,0
"68",485080,58,0,0,0,0
"69",485081,59,0,0,0,0
"70",485082,52,0,0,0,0
"71",485083,59,0,0,0,0
"72",485084,58,0,0,0,0
"73",485085,59,14.7457627118644,870,12.717884800736,1.6557275721874
"74",485086,58,19.7413793103448,1145,14.4908444716905,1.90274109670271
"75",485087,59,10.1525423728814,599,12.4966389402994,1.62692381455814
"76",485088,58,22.4827586206897,1304,13.1125243187911,1.72175879408683
"77",485089,58,22.5,1305,13.3577627079314,1.7539601721651
"78",485090,59,20.3559322033898,1201,14.147940890589,1.84190501716685
"79",485091,58,3.74137931034483,217,9.61643393222757,1.262699636472
"80",485092,58,21.7758620689655,1263,14.6707049107101,1.92635792936295
"81",485093,59,26,1534,13.256098141272,1.72579698086712
"82",485094,58,20.7758620689655,1205,15.5180066356976,2.03761409642695
"83",485095,59,15.1864406779661,896,14.5145284839984,1.88963065673189
"84",485096,58,0,0,0,0
"85",485097,59,0,0,0,0
"86",485098,58,0,0,0,0
"87",485099,59,0,0,0,0
"88",485100,58,0,0,0,0
"89",485101,59,0,0,0,0
"90",485102,58,0,0,0,0
"91",485103,58,0,0,0,0
"92",485104,59,0,0,0,0
"93",485105,58,0,0,0,0
"94",485106,59,0,0,0,0
"95",485107,58,0,0,0,0
"96",485108,58,0,0,0,0
"97",485109,59,6.98305084745763,412,11.0975168477919,1.44477363300537
"98",485110,58,26.2758620689655,1524,12.7372820690663,1.6724870728172
"99",485111,59,29.9322033898305,1766,12.3635510003085,1.60959724058604
"100",485112,58,29.2758620689655,1698,12.169552318379,1.59794050442612
"101",485113,59,21.7966101694915,1286,15.4180588932287,2.00726029674765
"102",485114,58,28.7413793103448,1667,13.6311824471038,1.78986194278927
"103",485115,58,12.4827586206897,724,15.320255344982,2.01164807984969
"104",485116,59,0,0,0,0
"105",485117,58,24.6896551724138,1432,14.178321599815,1.86170483320966
"106",485118,59,24.4915254237288,1445,15.4555791526331,2.01214501845923
"107",485119,58,18.2758620689655,1060,14.6716017655403,1.92647569217151
"108",485120,58,3.13793103448276,182,9.29147557986893,1.22003051439581
"109",485121,59,0,0,0,0
"110",485122,58,0,0,0,0
"111",485123,59,0,0,0,0
"112",485124,58,0,0,0,0
"113",485125,58,0,0,0,0
"114",485126,59,0,0,0,0
"115",485127,58,0,0,0,0
"116",485128,59,0,0,0,0
"117",485129,58,0,0,0,0
"118",485130,58,0,0,0,0
"119",485131,59,0,0,0,0
"120",485132,58,0,0,0,0
"121",485133,59,0,0,0,0
"122",485134,58,10.4137931034483,604,10.4512812657967,1.37232046182541
"123",485135,59,17.9661016949153,1060,10.4584005200487,1.36156777430643
"124",485136,58,21.4655172413793,1245,11.3481052089338,1.49007921470194
"125",485137,58,21.8275862068966,1266,11.0408141243083,1.44972991853016
"126",485138,59,10.6271186440678,627,15.5495850982288,2.02438355014206
"127",485139,58,0,0,0,0
"128",485140,59,18.3050847457627,1080,13.5586265163524,1.76518282055965
"129",485141,58,16.3620689655172,949,14.669096619911,1.92614675043512
"130",485142,58,27.9310344827586,1620,11.8067213521159,1.55029846451506
"131",485143,59,14.2542372881356,841,13.667975684864,1.77941886972483
"132",485144,58,19.3793103448276,1124,14.0235736194413,1.84138542791455
"133",485145,59,0,0,0,0
"134",485146,58,0,0,0,0
"135",485147,58,0,0,0,0
"136",485148,59,0,0,0,0
"137",485149,58,0,0,0,0
"138",485150,58,0,0,0,0
"139",485151,59,0,0,0,0
"140",485152,58,0,0,0,0
"141",485153,59,0,0,0,0
"142",485154,58,0,0,0,0
"143",485155,59,0,0,0,0
"144",485156,58,0,0,0,0
"145",485157,11,0,0,0,0
